"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AGR26",1.51709676719342e-34,0.35936342252988,0.928,0.766,3.03419353438684e-31,"26","AGR2"
"FOXC12",1.59006337561008e-34,0.264194449856696,0.801,0.712,3.18012675122015e-31,"26","FOXC1"
"ARL6IP17",1.79792212753738e-34,0.373453289526566,0.988,0.913,3.59584425507477e-31,"26","ARL6IP1"
"MIA7",1.98195710288502e-34,0.503379648459599,0.822,0.748,3.96391420577003e-31,"26","MIA"
"PITX14",2.60803865934997e-34,0.406674956787824,0.769,0.695,5.21607731869994e-31,"26","PITX1"
"RAB27B6",8.8171692680863e-34,0.387967888947025,0.788,0.69,1.76343385361726e-30,"26","RAB27B"
"ELF38",1.01543577036529e-33,0.288967282768038,0.942,0.831,2.03087154073058e-30,"26","ELF3"
"NCEH15",1.89071146701869e-33,0.288264970529706,0.873,0.762,3.78142293403737e-30,"26","NCEH1"
"CP6",1.9654518232006e-33,0.58966650578576,0.797,0.783,3.9309036464012e-30,"26","CP"
"HIST1H2AC6",5.74339212950409e-33,0.453335731791185,0.868,0.834,1.14867842590082e-29,"26","HIST1H2AC"
"CYSTM16",8.2611843292718e-32,0.35423692442622,0.94,0.829,1.65223686585436e-28,"26","CYSTM1"
"CYP51A15",1.20478214916129e-31,0.290171094632314,0.931,0.813,2.40956429832259e-28,"26","CYP51A1"
"PMEPA19",2.68915457970137e-31,0.401765262382238,0.917,0.798,5.37830915940275e-28,"26","PMEPA1"
"PON27",3.12831036789106e-31,0.340416504626587,0.822,0.713,6.25662073578211e-28,"26","PON2"
"KRT186",3.15408890632325e-31,0.289245905265239,0.947,0.78,6.30817781264649e-28,"26","KRT18"
"MUC110",4.90300619520036e-31,0.259548720145961,0.921,0.782,9.80601239040072e-28,"26","MUC1"
"SGMS25",4.9620565638197e-31,0.300104576111893,0.804,0.728,9.92411312763939e-28,"26","SGMS2"
"ADGRF13",1.02659649224576e-30,0.26166420660957,0.767,0.662,2.05319298449152e-27,"26","ADGRF1"
"PODXL3",1.40811946470516e-30,0.426916549640055,0.714,0.656,2.81623892941031e-27,"26","PODXL"
"CD910",7.27167344700867e-30,0.380417020432656,0.982,0.951,1.45433468940173e-26,"26","CD9"
"CRIP29",7.46585969169497e-30,0.262874350734405,0.882,0.784,1.49317193833899e-26,"26","CRIP2"
"JPT16",1.11339473799901e-28,0.362473894477494,0.977,0.872,2.22678947599803e-25,"26","JPT1"
"EGFR6",7.18402046839884e-28,0.25766305035219,0.769,0.727,1.43680409367977e-24,"26","EGFR"
"ANXA47",1.14086669971719e-27,0.259449131595094,0.954,0.786,2.28173339943438e-24,"26","ANXA4"
"MACC14",9.47642495771125e-27,0.265716332077226,0.783,0.686,1.89528499154225e-23,"26","MACC1"
"UACA7",2.13891960905448e-26,0.256573069000126,0.866,0.826,4.27783921810896e-23,"26","UACA"
"BACE26",2.28686420843217e-26,0.314222508938035,0.799,0.711,4.57372841686434e-23,"26","BACE2"
"SERPINB54",4.54992609176059e-26,0.27172367911298,0.751,0.706,9.09985218352118e-23,"26","SERPINB5"
"S100A24",1.34319203393183e-23,0.289465328714167,0.776,0.755,2.68638406786366e-20,"26","S100A2"
